the
and
then
but
its
unfortunately
while
besides
although
whereas
despite
otherwise
however
rather
nevertheless
nonetheless
regardless
notwithstanding
unlike
with
after
our
how
who
what
when
why
he
she
of
you
I
for
next
there
in
now
so
if
yes
no
his
hers
her
at
that
all
this
let
get
