P, R, F1
90.663780,87.286961,88.823464
88.606243,87.566975,88.071084
89.317754,88.851014,89.081318
89.497821,90.477390,89.974101
91.081217,93.033605,92.006151
89.214617,88.275076,88.732432
89.756374,88.622607,89.171747
89.353112,91.552654,90.383901
88.159228,87.932806,88.045267
87.209394,86.486749,86.840197
89.285954,89.008584,89.112966
