P, R, F1
72.603520,82.744437,72.286368
73.647052,83.950447,73.948698
75.295928,85.768889,76.363992
75.512754,86.084336,76.634377
77.980238,88.189743,80.063428
74.209944,84.205180,75.200033
75.542835,85.414757,77.108075
76.044521,86.506913,77.459597
72.499572,82.566654,72.280255
73.568779,83.826906,73.928070
74.690514,84.925826,75.527289
