P, R, F1
91.932712,88.917998,90.308834
90.244156,89.766419,90.002171
91.598496,91.352365,91.474637
91.520242,91.765054,91.641861
93.304684,93.496336,93.400054
90.568701,88.600455,89.532653
92.161436,90.701421,91.404186
91.773404,92.203412,91.985997
89.573752,88.565562,89.055535
88.776512,88.661650,88.718892
91.145409,90.403067,90.752482
